Date,Temperature,Humidity,Precipitation
01-01-2020,13.28,53.28,2.64
02-01-2020,7.25,44.16,0.82
03-01-2020,14.32,88.8,0.57
04-01-2020,18.9,35.26,3.43
05-01-2020,20.73,33.08,1.81
06-01-2020,0.99,37.04,1.92
07-01-2020,21.49,42.01,1.14
08-01-2020,9.75,51.43,3.57
09-01-2020,5.78,60.73,3.44
10-01-2020,15.74,33.48,38.31
11-01-2020,11.24,86.75,3.35
12-01-2020,-1.49,74.89,0.41
13-01-2020,19.79,72.64,2.32
14-01-2020,14.18,47.23,0.71
15-01-2020,20.03,30.36,0.1
16-01-2020,18.13,40.65,0.56
17-01-2020,11.83,72.34,0.03
18-01-2020,12.06,74.94,0.87
19-01-2020,14.1,69.94,0.6
20-01-2020,11.33,76.25,4.15
21-01-2020,15.05,69.33,4.57
22-01-2020,17.42,30.63,1.23
23-01-2020,12.72,40.39,14.19
24-01-2020,16.44,53.96,2.1
25-01-2020,19.24,54.62,1.74
26-01-2020,14.36,75.51,0.17
27-01-2020,10.44,83.58,2.75
28-01-2020,7.64,72.05,0.46
29-01-2020,17,82.86,29.26
30-01-2020,18.18,68.77,0.03
31-01-2020,21.19,69.55,0.1
01-02-2020,10.07,71.2,7.08
02-02-2020,13.42,61.91,53.59
03-02-2020,20.84,76.33,1.95
04-02-2020,18.34,36.39,0.82
05-02-2020,12.31,64.62,0.38
06-02-2020,17.51,67.93,0.89
07-02-2020,21.7,65.7,1.78
08-02-2020,20.78,35.22,1.62
09-02-2020,20.17,47.05,2.82
10-02-2020,21.99,67.55,1.24
11-02-2020,24.88,44.68,2.27
12-02-2020,12.99,48.7,3.59
13-02-2020,14.6,42.41,0.52
14-02-2020,18.92,56.14,1.61
15-02-2020,24.17,85.77,2.26
16-02-2020,17.9,64.72,1.19
17-02-2020,14.57,52.6,0.88
18-02-2020,21.55,81.2,8.4
19-02-2020,24.56,73.28,2.44
20-02-2020,25.07,58.21,2.26
21-02-2020,19.19,63.72,45.74
22-02-2020,29.26,49.91,0.54
23-02-2020,16.47,30.59,5.15
24-02-2020,19.97,40.18,1.51
25-02-2020,25.91,61.05,2
26-02-2020,17.68,78.76,7.31
27-02-2020,35.19,50.39,0.88
28-02-2020,32.12,41.53,0.89
29-02-2020,16.75,39.9,1.83
01-03-2020,27.81,48.79,2.73
02-03-2020,20.01,63.65,0.09
03-03-2020,31.86,60.64,2.29
04-03-2020,28.95,74.75,0.3
05-03-2020,23.79,65.12,0.38
06-03-2020,25.51,89.65,0.23
07-03-2020,18,61.29,6.9
08-03-2020,22.78,73.78,3.99
09-03-2020,17.24,40.5,1.68
10-03-2020,27.69,84.71,0.07
11-03-2020,32.58,75.63,2.07
12-03-2020,25.09,35.35,2.36
13-03-2020,18.68,37.05,1.63
14-03-2020,27.37,72.75,34.49
15-03-2020,26.51,61.07,0
16-03-2020,29.95,43.81,2.35
17-03-2020,26.26,42.24,0.26
18-03-2020,24.68,67.26,3.16
19-03-2020,34.1,78.87,0.82
20-03-2020,36.92,37.97,1.76
21-03-2020,26.26,44.58,1.24
22-03-2020,20.88,48.15,0.71
23-03-2020,27.49,61.72,0.31
24-03-2020,28.38,76.81,2.54
25-03-2020,19.72,54.15,0.53
26-03-2020,23.54,66.34,1.72
27-03-2020,32.42,33.31,0.31
28-03-2020,24.09,31.54,1.59
29-03-2020,26.62,56.88,49.67
30-03-2020,30.27,85.02,0.12
31-03-2020,24.71,56.9,0.73
01-04-2020,29.74,35.82,0.59
02-04-2020,36.73,88.64,5.08
03-04-2020,21.65,68.82,0.66
04-04-2020,25.62,40.24,1.46
05-04-2020,25.25,86.59,0.69
06-04-2020,27.89,62.53,4.39
07-04-2020,18.61,48.96,1.67
08-04-2020,31.44,81.84,1.56
09-04-2020,19.11,82.41,0.79
10-04-2020,26.24,86.56,0.22
11-04-2020,27.89,63.87,5.31
12-04-2020,24.82,57.32,0.56
13-04-2020,22.53,31.15,1.39
14-04-2020,30.1,57.4,0.04
15-04-2020,20.19,41.39,31.73
16-04-2020,24.53,55.38,1.8
17-04-2020,23.97,69.08,3.32
18-04-2020,18.47,86.42,3.05
19-04-2020,23.85,49.88,1.46
20-04-2020,23.35,44.51,2.68
21-04-2020,18.6,76.48,31.35
22-04-2020,24.92,54.89,2.21
23-04-2020,21.27,32.32,2.95
24-04-2020,27.62,82.06,3.06
25-04-2020,20.63,55.85,0.49
26-04-2020,20.78,46.93,2.76
27-04-2020,15.46,76.99,0.08
28-04-2020,24.34,73.29,6.27
29-04-2020,17.33,48.18,1.62
30-04-2020,20.26,77.82,3.84
01-05-2020,19.98,79.86,0.28
02-05-2020,23.67,30.2,1.19
03-05-2020,26.06,89.34,2.16
04-05-2020,18.66,67.95,0.69
05-05-2020,28.38,58.15,24.59
06-05-2020,22.07,64.32,0.4
07-05-2020,23.6,77.94,0.1
08-05-2020,25.71,64.89,0.23
09-05-2020,16.23,50.18,1.63
10-05-2020,28.88,50.08,6.59
11-05-2020,25.3,41.34,0.17
12-05-2020,26.77,76.13,1.77
13-05-2020,20.3,53.91,1.14
14-05-2020,16.36,72.26,4.64
15-05-2020,26.17,86.44,1.51
16-05-2020,24.72,83.5,1.59
17-05-2020,22.13,64.2,1.8
18-05-2020,24.54,66.78,0.67
19-05-2020,25.94,57.66,2.79
20-05-2020,24.69,86.71,1.11
21-05-2020,12.1,77.54,0.42
22-05-2020,19.08,84.91,0.93
23-05-2020,22.58,54.68,6.98
24-05-2020,16.87,38.9,1.71
25-05-2020,17.56,45.48,8.77
26-05-2020,19.52,69.9,1.2
27-05-2020,26.64,81.75,0.21
28-05-2020,19.69,73.93,3.54
29-05-2020,14.18,70.69,0.52
30-05-2020,24.43,42.7,1.34
31-05-2020,17.54,43.32,1.22
01-06-2020,14.62,76.38,1.9
02-06-2020,12.33,32.62,1.84
03-06-2020,12.94,72.06,0.58
04-06-2020,17.68,33.35,1.59
05-06-2020,15.75,77.88,1.44
06-06-2020,7.92,47.67,0.58
07-06-2020,13.13,50.53,0.53
08-06-2020,12.13,76.2,2.11
09-06-2020,11.15,47.3,5.55
10-06-2020,15.15,49.53,0.06
11-06-2020,16.1,32.88,5.39
12-06-2020,2.87,86.44,1.09
13-06-2020,9.7,86.69,1.09
14-06-2020,6.72,52.66,33.41
15-06-2020,10.11,47.99,2.77
16-06-2020,25.26,41.43,1.47
17-06-2020,6.99,84.03,1.48
18-06-2020,7.02,49.97,0.28
19-06-2020,13.61,56.62,0.66
20-06-2020,21.6,73.43,46.9
21-06-2020,13.01,78.84,4.12
22-06-2020,13.24,34.17,3.94
23-06-2020,9.98,71.78,3.88
24-06-2020,8.52,70.63,2.59
25-06-2020,16.64,53.68,0.23
26-06-2020,7.53,42.73,1.8
27-06-2020,6.38,75.03,38.67
28-06-2020,7.38,40.43,4.25
29-06-2020,11.34,85.39,1.28
30-06-2020,10.82,31.35,1.74
01-07-2020,1.19,52.88,2.33
02-07-2020,8.15,44.38,0.19
03-07-2020,15.16,52.91,1.89
04-07-2020,5.5,61.36,2.26
05-07-2020,10.08,56.48,0.42
06-07-2020,18.08,56.46,0.35
07-07-2020,4.01,86.59,0.86
08-07-2020,8.42,83.64,0.11
09-07-2020,7.11,38.25,1.17
10-07-2020,1.48,31.54,1.68
11-07-2020,7.13,58.15,1.44
12-07-2020,13.71,38.24,34.11
13-07-2020,7.4,54.9,26.35
14-07-2020,4.49,83.79,3.13
15-07-2020,-0.7,48.79,0.03
16-07-2020,3.16,81.62,0.24
17-07-2020,10.43,52.54,3.85
18-07-2020,8.08,35.58,2.2
19-07-2020,8.73,71.58,7.52
20-07-2020,7.52,38.77,2.32
21-07-2020,-2.78,54.14,0.5
22-07-2020,14.28,79.06,4.34
23-07-2020,-2.33,72.94,2.55
24-07-2020,3.25,81.52,1.2
25-07-2020,3.11,55.19,5.89
26-07-2020,-1.83,79.52,0.07
27-07-2020,0.18,83.85,1.76
28-07-2020,5.86,70.68,1.56
29-07-2020,1.4,81.35,1.28
30-07-2020,8.63,58.01,2.46
31-07-2020,-5.93,77.79,2.02
01-08-2020,1.84,30.23,2.04
02-08-2020,8.38,30.87,4.21
03-08-2020,0.03,59.65,6.88
04-08-2020,2.94,38.47,3.39
05-08-2020,0.89,56.36,0.02
06-08-2020,-0.79,31.5,3.52
07-08-2020,8.97,48.66,0.63
08-08-2020,6.4,72.69,0.16
09-08-2020,-2.36,49.54,0.37
10-08-2020,1.91,57.77,2.93
11-08-2020,-3.56,85.39,0.39
12-08-2020,-0.32,55.5,0.51
13-08-2020,-3.14,77.63,2.02
14-08-2020,0.58,63.33,1.54
15-08-2020,-8.14,43.71,1.31
16-08-2020,3.83,69.05,0.77
17-08-2020,-1.86,85.87,0.15
18-08-2020,-0.94,64.46,0.81
19-08-2020,-3.85,30.88,2.23
20-08-2020,-1.01,56,0.3
21-08-2020,0.55,38.98,8.39
22-08-2020,-1.91,84.7,0.44
23-08-2020,-8.37,39.08,0.05
24-08-2020,-4.57,68.27,2.02
25-08-2020,-4.16,73.46,2.37
26-08-2020,-7.78,54.49,39.26
27-08-2020,-1.33,70.09,0.6
28-08-2020,-6.27,46.12,0.94
29-08-2020,3.89,42.48,0.13
30-08-2020,-7.76,79.66,0.69
31-08-2020,-1.35,75.48,0.28
01-09-2020,3.02,49.3,2.07
02-09-2020,2.01,72.77,2.66
03-09-2020,-12.91,82.1,3.63
04-09-2020,-9.19,42.72,1.34
05-09-2020,-6.19,60.03,2.11
06-09-2020,4.11,31.24,1.31
07-09-2020,-8.83,88.71,0.02
08-09-2020,-3.62,75.5,0.36
09-09-2020,5.65,48.02,2.42
10-09-2020,3.35,59.1,4.47
11-09-2020,-3.02,86.92,0.57
12-09-2020,-11.88,66.86,3.11
13-09-2020,-6.49,41.85,0.07
14-09-2020,-4.61,61.77,0.95
15-09-2020,-7.64,63.55,3.75
16-09-2020,-4.57,88.61,9.41
17-09-2020,-8.52,50.83,1.19
18-09-2020,0.3,69.41,1.02
19-09-2020,-2.36,80.86,1
20-09-2020,1.5,62.48,4.94
21-09-2020,0.07,88.46,2.08
22-09-2020,0.06,45.97,0.12
23-09-2020,-3.43,59.97,2.08
